,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Date,Country
347,84.2,66,12.75,75,-19.8,-174.35,1575506802,TO
348,54.0,83,11.01,81,-38.55,-58.74,1575506803,AR
349,82.4,17,12.75,0,-32.25,148.6,1575506803,AU
350,42.8,87,3.36,75,41.2,36.72,1575506803,TR
351,78.46,79,12.91,47,19.1,37.33,1575506803,SD
352,63.0,59,3.98,1,30.04,-94.42,1575506803,US
353,45.0,93,3.0,100,42.87,1.37,1575506803,FR
354,78.44,84,4.0,73,-16.23,39.91,1575506803,MZ
355,28.69,92,16.53,100,52.32,38.35,1575506804,RU
356,82.4,65,9.17,75,21.44,-157.84,1575506804,US
357,41.0,86,31.09,90,47.66,-52.73,1575506804,CA
358,12.2,72,11.41,90,55.1,-105.3,1575506804,CA
359,77.0,69,5.82,75,21.09,72.71,1575506804,IN
360,10.4,72,18.34,17,68.82,-51.19,1575506805,GL
361,78.8,26,3.36,0,-32.49,137.76,1575506805,AU
362,39.2,71,13.87,76,63.18,14.64,1575506805,SE
363,59.0,93,3.36,75,0.5,35.74,1575506805,KE
364,-29.52,95,4.74,100,66.77,123.37,1575506805,RU
365,33.8,64,6.71,40,42.25,47.39,1575506805,RU
366,23.0,92,3.36,90,49.78,-74.86,1575506806,CA
367,66.2,72,3.36,20,22.29,-79.63,1575506806,CU
368,35.6,80,8.05,0,51.3,6.85,1575506806,DE
369,57.2,35,31.09,40,-51.62,-69.22,1575506806,AR
370,5.56,96,6.26,100,66.56,67.8,1575506806,RU
371,48.99,65,2.24,100,41.89,12.48,1575506806,IT
372,56.7,95,3.0,0,26.0,92.85,1575506807,IN
373,67.1,92,0.83,24,16.79,-98.24,1575506807,MX
374,49.3,66,27.78,100,-17.6,-67.51,1575506807,BO
375,48.36,80,3.02,100,28.78,105.09,1575506807,CN
376,71.01,56,8.01,18,-39.94,176.59,1575506808,NZ
377,68.0,70,3.71,47,18.05,78.27,1575506808,IN
378,67.77,99,3.91,60,-5.25,14.87,1575506808,CD
379,86.0,70,10.0,6,-13.87,-171.6,1575506808,WS
380,74.37,85,17.38,77,-21.64,-41.05,1575506808,BR
381,86.0,9,26.4,0,-34.58,150.85,1575506808,AU
382,83.17,71,8.95,29,-16.7,-151.02,1575506809,PF
383,80.69,80,16.15,53,5.38,-52.96,1575506809,GF
384,89.6,8,11.41,0,-23.7,133.88,1575506766,AU
385,32.31,87,8.5,94,48.68,71.64,1575506809,KZ
386,50.0,81,3.36,20,37.47,-4.43,1575506809,ES
387,-6.65,64,7.49,0,45.84,123.2,1575506809,CN
388,71.69,52,2.95,63,25.72,-79.3,1575506809,BS
389,76.96,79,3.51,87,-14.4,-56.44,1575506810,BR
390,37.15,82,3.36,100,38.5,42.28,1575506810,TR
391,71.58,69,3.4,5,3.52,39.05,1575506810,ET
392,-3.15,87,3.04,96,49.98,92.07,1575506810,MN
393,69.62,47,3.49,2,9.58,8.3,1575506810,NG
394,65.46,93,3.29,100,-3.83,32.6,1575506810,TZ
395,80.15,77,13.09,98,-8.9,-35.15,1575506811,BR
396,6.8,77,2.24,0,36.55,104.13,1575506811,CN
397,74.5,97,1.23,98,2.02,112.94,1575506811,MY
398,30.0,100,3.36,0,48.95,9.43,1575506811,DE
399,68.32,50,4.45,76,25.26,63.48,1575506811,PK
400,29.07,67,1.59,91,44.17,80.0,1575506812,KZ
401,67.73,97,7.23,91,-20.63,-46.0,1575506812,BR
402,84.99,18,14.99,0,-32.72,152.14,1575506812,AU
403,54.25,70,12.41,57,-45.87,170.5,1575506812,NZ
404,78.8,94,3.27,20,5.88,-10.05,1575506812,LR
405,34.0,100,4.7,0,52.12,9.98,1575506812,DE
406,35.6,100,11.41,90,60.57,27.2,1575506813,FI
407,-5.49,90,8.9,90,49.24,135.18,1575506813,RU
408,71.47,73,6.93,98,-1.99,32.93,1575506813,TZ
409,3.9,98,2.46,80,63.37,47.92,1575506813,RU
410,38.62,73,21.34,100,43.18,51.68,1575506813,KZ
411,89.01,61,10.36,46,-19.58,147.4,1575506813,AU
412,51.55,87,6.85,9,-34.0,24.73,1575506814,ZA
413,41.0,80,9.17,1,41.47,-87.06,1575506661,US
414,64.99,61,1.01,51,30.54,-111.12,1575506814,MX
415,61.0,82,10.29,90,34.64,-120.46,1575506814,US
416,82.76,73,6.38,62,-10.62,150.67,1575506814,PG
417,67.14,83,7.11,21,20.46,94.87,1575506814,MM
